cycle,event,id,type,temporal_reference,bank,hold_total
112019962,DISPLAY,43,2,7,2,65380701
114333749,READY,44,2,8,0,65380701
114333750,START,45,2,9,-1,65380701
115024869,DISPLAY,44,2,8,0,66071819
117374725,READY,45,2,9,1,66071819
117374726,START,46,2,11,-1,66071819
119028869,DISPLAY,45,2,9,1,67725961
121462681,READY,46,2,11,2,67725961
121462682,START,47,3,10,-1,67725961
122950013,READY,47,3,10,2,67725961
122950175,START,48,1,0,-1,67725961
124031962,DISPLAY,47,3,10,2,67725961
124967894,START,49,2,2,-1,67725961
124967895,READY,48,1,0,0,67725961
126033962,DISPLAY,46,2,11,2,67725961
126625636,READY,49,2,2,1,67725961
126625637,START,50,3,1,-1,67725961
127752770,READY,50,3,1,2,67725961
127752772,START,51,2,3,-1,67725961
129038869,DISPLAY,50,3,1,2,67725961
130701579,READY,51,2,3,2,67725961
130701580,START,52,2,5,-1,67725961
132039962,DISPLAY,49,2,2,1,67725961
134041962,DISPLAY,51,2,3,2,69727961
134361206,READY,52,2,5,0,69727961
134361207,START,53,3,4,-1,69727961
135525981,READY,53,3,4,2,69727961
135525983,START,54,2,6,-1,69727961
137046869,DISPLAY,53,3,4,2,69727961
137213579,READY,54,2,6,1,69727961
137213580,START,55,2,7,-1,69727961
138975424,READY,55,2,7,2,69727961
138975425,START,56,2,8,-1,69727961
139048869,DISPLAY,52,2,5,0,69727961
142049962,DISPLAY,54,2,6,1,72729054
143707345,READY,56,2,8,0,72729054
143707346,START,57,2,9,-1,72729054
145054869,DISPLAY,56,2,8,0,74076576
147037813,READY,57,2,9,1,74076576
