cycle,event,id,type,temporal_reference,bank,hold_total
413322873,START,167,3,10,-1,97427135
415324872,DISPLAY,166,3,9,2,97427135
415464552,READY,167,3,10,3,97427135
415464714,START,168,1,2,-1,97427135
417723559,START,169,3,0,-1,97427135
417723560,READY,168,1,2,0,97427135
418325966,DISPLAY,167,3,10,3,98029541
420151321,READY,169,3,0,2,98029542
420327966,DISPLAY,165,2,11,2,98206185
420327967,START,170,3,1,-1,98206186
422118864,READY,170,3,1,3,98206186
422118866,START,171,2,5,-1,98206186
423332872,DISPLAY,169,3,0,2,98206186
424741889,READY,171,2,5,1,98206186
425334872,START,172,3,3,-1,98799168
425334872,DISPLAY,170,3,1,3,98799168
427198392,READY,172,3,3,2,98799168
428335966,DISPLAY,168,1,2,0,99936740
428335967,START,173,3,4,-1,99936741
430247705,READY,173,3,4,3,99936741
430247707,START,174,2,8,-1,99936741
430337966,DISPLAY,172,3,3,2,99936741
433026010,READY,174,2,8,2,99936741
433342873,START,175,3,6,-1,100253603
433342873,DISPLAY,173,3,4,3,100253603
435274856,READY,175,3,6,2,100253603
435344873,DISPLAY,171,2,5,1,100323618
435344874,START,176,3,7,-1,100323619
437248878,READY,176,3,7,3,100323619
437248880,START,177,2,11,-1,100323619
438345966,DISPLAY,175,3,6,2,100323619
440161461,READY,177,2,11,0,100323619
440347966,START,178,3,9,-1,100510123
440347966,DISPLAY,176,3,7,3,100510123
442437736,READY,178,3,9,2,100510123
443352873,DISPLAY,174,2,8,2,101425258
443352874,START,179,3,10,-1,101425259
445354873,DISPLAY,178,3,9,2,101425259
445464168,READY,179,3,10,3,101425259
445464330,START,180,1,2,-1,101425259
447709181,START,181,3,0,-1,101425259
447709182,READY,180,1,2,1,101425259
448355966,DISPLAY,179,3,10,3,102072043
450231771,READY,181,3,0,2,102072044
450357966,DISPLAY,177,2,11,0,102198237
450357967,START,182,3,1,-1,102198238
452249448,READY,182,3,1,3,102198238
452249450,START,183,2,5,-1,102198238
453362873,DISPLAY,181,3,0,2,102198238
455007801,READY,183,2,5,2,102198238
455364873,START,184,3,3,-1,102555309
455364873,DISPLAY,182,3,1,3,102555309
457379561,READY,184,3,3,2,102555309
458365966,DISPLAY,180,1,2,1,103541712
458365967,START,185,3,4,-1,103541713
460367966,DISPLAY,184,3,3,2,103541713
460397672,READY,185,3,4,3,103541713
460397674,START,186,2,8,-1,103541713
463166614,READY,186,2,8,0,103541713
463372873,START,187,3,6,-1,103747971
463372873,DISPLAY,185,3,4,3,103747971
465374873,DISPLAY,183,2,5,2,103747971
465410585,READY,187,3,6,2,103747971
465410588,START,188,3,7,-1,103747972
467455848,READY,188,3,7,3,103747972
467455850,START,189,2,11,-1,103747972
468375966,DISPLAY,187,3,6,2,103747972
470316799,READY,189,2,11,1,103747972
470377966,START,190,3,9,-1,103809138
470377966,DISPLAY,188,3,7,3,103809138
472507240,READY,190,3,9,2,103809138
473382873,DISPLAY,186,2,8,0,104684769
473382874,START,191,3,10,-1,104684770
475384873,DISPLAY,190,3,9,2,104684770
475543912,READY,191,3,10,3,104684770
475544074,START,192,1,2,-1,104684770
477857741,START,193,3,0,-1,104684770
477857742,READY,192,1,2,2,104684770
478385966,DISPLAY,191,3,10,3,105212994
480387966,DISPLAY,189,2,11,1,105212995
480488875,READY,193,3,0,2,105212995
480488878,START,194,3,1,-1,105212996
482564666,READY,194,3,1,3,105212996
482564668,START,195,2,5,-1,105212996
483392873,DISPLAY,193,3,0,2,105212996
485351082,READY,195,2,5,0,105212996
485394873,START,196,3,3,-1,105256786
485394873,DISPLAY,194,3,1,3,105256786
487471870,READY,196,3,3,2,105256786
488395967,DISPLAY,192,1,2,2,106180881
488395968,START,197,3,4,-1,106180882
490397967,DISPLAY,196,3,3,2,106180882
490468315,READY,197,3,4,3,106180882
490468317,START,198,2,8,-1,106180882
493292757,READY,198,2,8,1,106180882
493402873,START,199,3,6,-1,106290997
493402873,DISPLAY,197,3,4,3,106290997
495404873,DISPLAY,195,2,5,0,106290997
495512520,READY,199,3,6,2,106290997
495512523,START,200,3,7,-1,106290998
497624176,READY,200,3,7,3,106290998
497624178,START,201,2,11,-1,106290998
498405967,DISPLAY,199,3,6,2,106290998
500407967,DISPLAY,200,3,7,3,106290998
500471153,READY,201,2,11,2,106290998
500471154,START,202,3,9,-1,106290998
502586992,READY,202,3,9,2,106290998
503412873,DISPLAY,198,2,8,1,107116877
503412874,START,203,3,10,-1,107116878
505414873,DISPLAY,202,3,9,2,107116878
505522584,READY,203,3,10,3,107116878
505522746,START,204,1,2,-1,107116878
507902841,START,205,3,0,-1,107116878
507902842,READY,204,1,2,0,107116878
508415967,DISPLAY,203,3,10,3,107630003
510417967,DISPLAY,201,2,11,2,107630004
510547265,READY,205,3,0,2,107630004
510547268,START,206,3,1,-1,107630005
512657067,READY,206,3,1,3,107630005
512657069,START,207,2,5,-1,107630005
513422873,DISPLAY,205,3,0,2,107630005
515424874,DISPLAY,206,3,1,3,107630005
515498210,READY,207,2,5,1,107630005
515498211,START,208,3,3,-1,107630005
517623981,READY,208,3,3,2,107630005
518425967,DISPLAY,204,1,2,0,108431989
518425968,START,209,3,4,-1,108431990
520427967,DISPLAY,208,3,3,2,108431990
520519451,READY,209,3,4,3,108431990
520519453,START,210,2,8,-1,108431990
523394992,READY,210,2,8,2,108431990
523432874,START,211,3,6,-1,108469871
523432874,DISPLAY,209,3,4,3,108469871
525434874,DISPLAY,207,2,5,1,108469871
525595811,READY,211,3,6,2,108469871
525595814,START,212,3,7,-1,108469872
527730145,READY,212,3,7,3,108469872
527730147,START,213,2,11,-1,108469872
528435967,DISPLAY,211,3,6,2,108469872
530437967,DISPLAY,212,3,7,3,108469872
530593306,READY,213,2,11,0,108469872
530593307,START,214,3,9,-1,108469872
532687638,READY,214,3,9,2,108469872
533442874,DISPLAY,210,2,8,2,109225106
533442875,START,215,3,10,-1,109225107
535444874,DISPLAY,214,3,9,2,109225107
535557304,READY,215,3,10,3,109225107
535557466,START,216,1,2,-1,109225107
538016064,START,217,3,0,-1,109225107
538016065,READY,216,1,2,1,109225107
538445967,DISPLAY,215,3,10,3,109655009
540447967,DISPLAY,213,2,11,0,109655010
540638936,READY,217,3,0,2,109655010
540638939,START,218,3,1,-1,109655011
542811422,READY,218,3,1,3,109655011
542811424,START,219,2,5,-1,109655011
543452874,DISPLAY,217,3,0,2,109655011
545454874,DISPLAY,218,3,1,3,109655011
545660451,READY,219,2,5,2,109655011
545660452,START,220,3,3,-1,109655011
547759464,READY,220,3,3,2,109655011
548455967,DISPLAY,216,1,2,1,110351512
548455968,START,221,3,4,-1,110351513
550457967,DISPLAY,220,3,3,2,110351513
550575129,READY,221,3,4,3,110351513
550575131,START,222,2,8,-1,110351513
553438613,READY,222,2,8,0,110351513
553462874,START,223,3,6,-1,110375773
553462874,DISPLAY,221,3,4,3,110375773
555464874,DISPLAY,219,2,5,2,110375773
555558800,READY,223,3,6,2,110375773
555558803,START,224,3,7,-1,110375774
557645343,READY,224,3,7,3,110375774
557645345,START,225,2,11,-1,110375774
558465967,DISPLAY,223,3,6,2,110375774
560467967,DISPLAY,224,3,7,3,110375774
560472858,READY,225,2,11,1,110375774
560472859,START,226,3,9,-1,110375774
562541968,READY,226,3,9,2,110375774
563472874,DISPLAY,222,2,8,0,111306678
563472875,START,227,3,10,-1,111306679
565474874,DISPLAY,226,3,9,2,111306679
565553104,READY,227,3,10,3,111306679
565553266,START,228,1,2,-1,111306679
568110088,START,229,3,0,-1,111306679
568110089,READY,228,1,2,2,111306679
