cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
44954868,SELECT,15,44,21917,15,18,0,0,0,0,115435,93047,0,1,1,1,17,15794567,29138384,0,482713,1662395683,1,1,0,0,0
44954869,START,20,44,21918,15,19,1,0,0,0,115435,93047,0,1,1,1,18,15794567,29138385,0,482713,1610613361,1,0,0,0,0
45038760,PUBLISH,15,44,22000,15,19,1,0,0,0,115561,93047,0,1,1,1,18,15878375,29138385,0,482777,1610613877,0,1,0,0,0
45637358,READY,20,44,22300,15,19,1,0,0,0,116459,93047,0,1,1,1,18,16476673,29138385,0,511491,1610613877,0,1,0,0,0
45637360,START,21,44,22302,15,19,1,0,0,0,116459,93047,0,1,1,1,18,16476674,29138385,0,511491,1610613881,1,1,0,0,0
45953960,FIELD,15,44,22504,15,19,1,0,0,0,116933,93047,0,1,1,1,18,16793071,29138385,0,524050,1610615931,0,1,0,0,0
46352177,READY,21,45,22685,15,19,1,0,0,0,117531,93047,0,1,1,1,18,17191108,29138385,0,536247,1610615931,1,1,0,0,0
46956867,FIELD,15,45,22685,15,19,1,0,0,0,118438,93047,0,1,1,1,18,17191108,29743074,0,536247,1677726843,1,1,0,0,0
47955960,FIELD,15,46,22685,15,19,1,1,0,0,119936,93047,0,1,1,1,18,17191108,30742167,0,536247,1677726843,1,1,0,0,0
47955961,SELECT,19,47,22685,19,20,1,0,0,0,119936,93047,0,0,0,1,18,17191108,30742168,0,536247,1677727051,1,1,0,0,0
48043667,PUBLISH,19,47,22685,19,20,1,0,0,0,120068,93047,0,0,0,1,19,17191108,30829874,0,536247,1677727051,1,1,0,0,0
48958867,FIELD,19,47,22685,19,20,1,0,0,0,121441,93047,0,0,0,1,19,17191108,31745074,0,536247,1677727051,1,1,0,0,0
49957960,FIELD,19,48,22685,19,20,1,1,0,0,122939,93047,0,0,0,1,19,17191108,32744167,0,536247,1677727051,1,1,0,0,0
49957961,START,22,49,22686,20,18,1,0,0,0,122939,93047,0,0,1,1,19,17191108,32744168,0,536247,1677727075,1,1,0,0,0
49957961,SELECT,20,49,22686,20,18,1,0,0,0,122939,93047,0,0,1,1,19,17191108,32744168,0,536247,1677727075,1,1,0,0,0
50045667,PUBLISH,20,49,22780,20,18,1,0,0,0,123071,93047,0,0,1,1,20,17278719,32744168,0,536311,1628743011,0,1,0,0,0
50640291,READY,22,49,23068,20,18,1,0,0,0,123963,93047,0,0,1,1,20,17873055,32744168,0,564865,1628743011,0,1,0,0,0
50960867,FIELD,20,49,23069,20,18,1,0,0,0,124444,93047,0,0,1,1,20,17873056,33064742,0,564865,1628841315,1,1,0,0,0
51959960,FIELD,20,50,23069,20,18,1,0,0,0,125942,93047,0,0,1,1,20,17873056,34063835,0,564865,1628841315,1,1,0,0,0
52962867,FIELD,20,51,23069,20,18,1,1,0,0,127447,93047,0,0,1,1,20,17873056,35066742,0,564865,1628841315,1,1,0,0,0
52962868,SELECT,18,52,23069,18,21,0,0,0,0,127447,93047,0,1,0,1,20,17873056,35066743,0,564865,1662395683,1,1,0,0,0
52962869,START,23,52,23070,18,22,1,0,0,0,127447,93047,0,1,0,1,21,17873056,35066744,0,564865,1610613361,1,0,0,0,0
53046760,PUBLISH,18,52,23152,18,22,1,0,0,0,127573,93047,0,1,0,1,21,17956864,35066744,0,564929,1610613877,0,1,0,0,0
53645358,READY,23,52,23452,18,22,1,0,0,0,128471,93047,0,1,0,1,21,18555162,35066744,0,593643,1610613877,0,1,0,0,0
53645520,START,24,52,23614,18,22,1,0,0,0,128471,93047,0,1,0,1,21,18555163,35066744,0,593643,1610613881,1,1,0,0,0
53961960,FIELD,18,52,25000,18,22,1,0,0,0,128945,93047,0,1,0,1,21,18870216,35066744,0,601304,1610615931,0,1,0,0,0
54964867,FIELD,18,53,29361,18,22,1,1,0,0,130450,93047,0,1,0,1,21,19868762,35066744,0,622866,1610615931,0,1,0,0,0
54964868,SELECT,22,54,29361,22,23,1,0,0,0,130450,93047,0,1,1,1,21,19868763,35066744,0,622866,1610616139,0,1,0,0,0
55048760,PUBLISH,22,54,29720,22,23,1,0,0,0,130576,93047,0,1,1,1,22,19952296,35066744,0,623147,1610616139,0,1,0,0,0
55182845,PTS,3,54,30309,22,23,1,0,0,0,130777,93047,0,1,1,1,22,20085793,35066744,0,626350,1610616139,1,1,0,0,0
55338515,START,25,54,30982,22,23,1,0,0,0,131010,93047,0,1,1,1,22,20240790,35066744,0,630142,1610616139,1,1,0,0,0
55338516,READY,24,54,30982,22,23,1,0,0,0,131010,93047,0,1,1,1,22,20240790,35066744,0,630142,1610616139,1,1,0,0,0
55963960,FIELD,22,54,30982,22,23,1,0,0,0,131948,93047,0,1,1,1,22,20240790,35692188,0,630142,1677727051,1,1,0,0,0
56966867,FIELD,22,55,30982,22,23,1,0,0,0,133453,93047,0,1,1,1,22,20240790,36695095,0,630142,1677727051,1,1,0,0,0
57965960,FIELD,22,56,30982,22,23,1,1,0,0,134951,93047,0,1,1,1,22,20240790,37694188,0,630142,1677727051,1,1,0,0,0
57965961,SELECT,23,57,30982,23,21,1,0,0,0,134951,93047,0,0,0,1,22,20240790,37694189,0,630142,1677727075,1,1,0,0,0
58053667,PUBLISH,23,57,31076,23,21,1,0,0,0,135083,93047,0,0,0,1,23,20328401,37694190,0,630206,1628743011,0,1,0,0,0
58648292,READY,25,57,31380,23,21,1,0,0,0,135975,93047,0,0,0,1,23,20922722,37694190,0,658761,1628743011,0,1,0,0,0
58968867,FIELD,23,57,31381,23,21,1,0,0,0,136456,93047,0,0,0,1,23,20922723,38014763,0,658761,1628841315,1,1,0,0,0
59967960,FIELD,23,58,31381,23,21,1,1,0,0,137954,93047,0,0,0,1,23,20922723,39013856,0,658761,1628841315,1,1,0,0,0
59967961,SELECT,21,59,31381,21,24,0,0,0,0,137954,93047,0,0,1,1,23,20922723,39013857,0,658761,1662395683,1,1,0,0,0
59967962,START,26,59,31382,21,25,1,0,1,0,137954,93047,0,0,1,1,24,20922723,39013858,0,658761,1610613361,1,0,0,0,0
60055667,PUBLISH,21,59,31476,21,25,1,0,1,0,138086,93047,0,0,1,1,24,21010333,39013858,0,658825,1610613877,0,1,0,0,0
60650292,READY,26,59,31776,21,25,1,0,1,1,138978,93047,0,0,1,1,24,21604658,39013858,0,687380,1610613877,0,1,0,0,0
60650294,START,27,59,31778,21,25,1,0,1,1,138978,93047,0,0,1,1,24,21604659,39013858,0,687380,1610613881,1,1,0,0,0
60970867,FIELD,21,59,32180,21,25,1,0,1,1,139459,93047,0,0,1,1,24,21924829,39013858,0,700079,1610615931,0,1,0,0,0
61377307,READY,27,60,35357,21,25,1,0,1,1,140068,93047,0,0,1,1,24,22328093,39013858,0,712747,1610615931,1,1,0,0,0
61969960,FIELD,21,60,35357,21,25,1,0,1,1,140957,93047,0,0,1,1,24,22328093,39606510,0,712747,1677726843,1,1,0,0,0
62972867,FIELD,21,61,35357,21,25,1,1,1,1,142462,93047,0,0,1,1,24,22328093,40609417,0,712747,1677726843,1,1,0,0,0
62972868,SELECT,25,62,35357,25,26,1,0,0,0,142462,138092,1,1,0,1,24,22328093,40609418,0,712747,1677727051,1,1,0,0,0
